league_id,season,num_of_matches,matches_played,progress,avg_goals
b77bb3f6-1039-43f0-98c8-5b8e5f122f64,2023 - 2024,180,110,61.0,2.79
552119fe-4015-4c8c-b869-5864d322b12e,2023 - 2024,182,154,85.0,2.6
7ec702ba-2b13-4256-9329-ddbd487c05de,2023 - 2024,552,395,72.0,2.75
27ce8032-1bf4-4a0a-9931-449b4a3b526e,2023 - 2024,306,198,65.0,3.13
7870739f-daf6-4c67-bc2f-49bc98ede0a5,2023 - 2024,306,198,65.0,3.14
e6ab7f76-6312-478c-8788-ab77ffd3b07a,2023 - 2024,380,259,68.0,2.85
567ab081-81f9-4bff-a05b-53c1cc2ab6e7,2023 - 2024,380,250,66.0,2.63
911ad7d7-3155-4839-9412-c0dd722ef102,2023 - 2024,462,297,64.0,2.26
0e0f9b31-3e0a-4498-87c8-7e67c99c0e3d,2023 - 2024,380,247,65.0,2.6
dc445b6c-cf25-4b67-bb66-1be002d41335,2023 - 2024,380,250,66.0,2.58
d7ba53c8-9746-4dfa-bfa8-51db72e7324d,2023 - 2024,306,198,65.0,2.53
554bfd9f-07aa-4c57-b549-4fef9541e2e3,2023 - 2024,380,250,66.0,2.42
d4d2113e-4a38-41d4-a9ab-64d8f8ff41e9,2023 - 2024,306,198,65.0,3.17
5498e950-c9e9-43da-9b41-f215dbc9d2ef,2023 - 2024,380,259,68.0,3.04
99367c6c-4b0b-4d9d-8965-1cb61b1aecd8,2023 - 2024,306,197,64.0,2.9
f707c842-8ac2-477f-bd8e-c410d6dbf634,2023 - 2024,306,197,64.0,2.5
711e826b-ed73-46ca-b870-3a7936cbe433,2023 - 2024,132,114,86.0,2.58
9ae1b95e-d513-4f55-b89c-fdbd672e2e99,2023 - 2024,240,128,53.0,2.97
4990867c-5755-4818-afdb-6d5bb06bd75f,2023 - 2024,132,108,82.0,2.7
4cc7958c-0828-4024-ba6c-932cc6cd38d0,2023 - 2024,132,108,82.0,2.92
0f211a60-304e-4e9b-affc-514c3ecb67b4,2023,240,240,100.0,2.77
30bee84f-44b9-4af3-bf81-9264d09dc1f2,2023,240,240,100.0,2.8
f340a40e-9bdb-4b50-8519-f5fc2ea3053f,2023,240,240,100.0,3.12
45345583-2b96-4090-9031-a37066f09c89,2023 - 2024,240,168,70.0,2.82
00bc5be7-3a92-40c5-b626-4e07650bca1c,2023 - 2024,240,128,53.0,2.8
f06868d1-7a9e-4462-9cbb-84e9f1143d07,2023 - 2024,198,144,73.0,3.01
9880c681-ee44-4f08-b423-0e08ff4e04e4,2023 - 2024,240,208,87.0,2.83
f33944b2-7fe3-454e-9b25-9b9807be84ec,2023 - 2024,240,176,73.0,2.78
c9a7ed11-dcd4-4183-8859-2d9fce04eba5,2023 - 2024,198,154,78.0,2.55
4b6279e9-a93b-4632-a495-2059492f7a4d,2023 - 2024,180,116,64.0,2.84
2417eea7-695e-4432-bf11-aa4fb70ee7a4,2023 - 2024,182,182,100.0,2.87
ece70344-ef19-44a5-8154-5832d33f045b,2023 - 2024,182,161,88.0,2.93
ae4be110-6db0-44d4-8ce5-7c35409154f0,2023 - 2024,380,260,68.0,2.7
39de362a-198c-4b55-a7cc-46f9539dc262,2023 - 2024,380,250,66.0,3.23
4e0b9e1c-7a9b-4029-8522-640920bc2e05,2023 - 2024,552,392,71.0,2.59
0fe62252-964c-4b5d-9e72-86567613451a,2023 - 2024,552,389,70.0,2.98
af2b2c64-5e07-4ce0-89d4-c45c92ef23ad,2023,240,240,100.0,2.78
